lambda,timeout,B,time,probability_sum,p_buffer_0,p_buffer_1,p_buffer_2,p_buffer_3,p_broker_busy,p_timer_active,average_buffer,average_in_service,effective_arrival_rate,batch_completion_rate,message_completion_rate,cumulative_batches,cumulative_messages
1,3,3,14.5,1.000000000000,0.407014269626,0.344769878760,0.212417912044,0.035797939569,0.407260974936,0.583709081300,0.876999521557,1.121584770867,0.964202060431,0.407260974936,1.121584770867,5.060523889353,14.026299903962
1,3,3,15.0,1.000000000000,0.407066380024,0.344782709642,0.212358414698,0.035792495637,0.407313576999,0.583649945653,0.876877025948,1.121679742070,0.964207504363,0.407313576999,1.121679742070,5.264167527336,14.587116032196
2,3,3,0.0,1.000000000000,1.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,2.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
2,3,3,0.5,1.000000000000,0.367879441171,0.632120558829,0.000000000000,0.000000000000,0.000000000000,0.632120558829,0.632120558829,0.000000000000,2.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
2,3,3,1.0,1.000000000000,0.302367526196,0.465088315870,0.232544157935,0.000000000000,0.167032242959,0.697632473804,0.930176631739,0.501096728877,2.000000000000,0.167032242959,0.501096728877,0.041758060740,0.125274182219
2,3,3,1.5,1.000000000000,0.400202502896,0.343152852498,0.256644644606,0.000000000000,0.393669538474,0.599797497104,0.856442141710,1.181008615421,2.000000000000,0.393669538474,1.181008615421,0.181933506098,0.545800518294
2,3,3,2.0,1.000000000000,0.421347098859,0.344135033249,0.220653168051,0.013864699841,0.519130502685,0.578652901141,0.827035468874,1.557391508055,1.972270600318,0.519130502685,1.557391508055,0.410133516388,1.230400549163
2,3,3,2.5,1.000000000000,0.390011400231,0.357814737990,0.207773967874,0.044399893904,0.556120517978,0.609988599769,0.906562355452,1.668361553934,1.911200212192,0.556120517978,1.668361553934,0.678946271553,2.036838814660
2,3,3,3.0,1.000000000000,0.368678429422,0.347501247968,0.208068457046,0.075751865564,0.567957573219,0.631321570578,0.990893758752,1.703872719657,1.848496268872,0.567957573219,1.703872719657,0.959965794353,2.879897383058
2,3,3,3.5,1.000000000000,0.378597314707,0.330261084513,0.194981451346,0.096160149435,0.592618448372,0.621402685293,1.008704435509,1.765320383427,1.807679701130,0.592618448372,1.765320383427,1.250109799750,3.747195658829
2,3,3,4.0,1.000000000000,0.374561236465,0.329324973159,0.189767414545,0.106346375831,0.600220657479,0.625438763535,1.027898929742,1.786761667273,1.787307248338,0.600220657479,1.786761667273,1.548319576213,4.635216171504
2,3,3,4.5,1.000000000000,0.371803626080,0.327265642279,0.188468561876,0.112462169765,0.603438670578,0.623889383859,1.041589275326,1.797562067992,1.775075660470,0.603438670578,1.797562067992,1.849234408227,5.531297105320
2,3,3,5.0,1.000000000000,0.372337593902,0.324877667408,0.186597471505,0.116187267185,0.606910051480,0.617119760201,1.046634411972,1.808138750083,1.767625465630,0.606910051480,1.808138750083,2.151821588742,6.432722309839
2,3,3,5.5,1.000000000000,0.372875868196,0.324149092755,0.184823784177,0.118151254872,0.609396010075,0.612777213034,1.048250425726,1.815363686932,1.763697490255,0.609396010075,1.815363686932,2.455898104131,7.338597919093
2,3,3,6.0,1.000000000000,0.372413588645,0.324200786235,0.184113638484,0.119271986635,0.610256787693,0.611936130593,1.050244023110,1.818033553371,1.761456026729,0.610256787693,1.818033553371,2.760811303573,8.246947229168
2,3,3,6.5,1.000000000000,0.371922181867,0.324025756035,0.184043651467,0.120008410632,0.610443780461,0.612000992085,1.052138290864,1.818905727702,1.759983178736,0.610443780461,1.818905727702,3.065986445611,9.156182049436
2,3,3,7.0,1.000000000000,0.371974280097,0.323685275066,0.183895072669,0.120445372168,0.610780908201,0.611272845197,1.052811536907,1.820066506771,1.759109255664,0.610780908201,1.820066506771,3.371292617777,10.065925108055
2,3,3,7.5,1.000000000000,0.372028230430,0.323575339008,0.183740361315,0.120656069247,0.611024637557,0.610960818417,1.053024269379,1.820918374585,1.758687861506,0.611024637557,1.820918374585,3.676744004216,10.976171328394
2,3,3,8.0,1.000000000000,0.372002870805,0.323566340661,0.183665058061,0.120765730473,0.611128216373,0.610879256173,1.053193648203,1.821335988877,1.758468539053,0.611128216373,1.821335988877,3.982282217699,11.886734919259
2,3,3,8.5,1.000000000000,0.371980639250,0.323551124703,0.183631945617,0.120836290430,0.611177174236,0.610802262738,1.053323887227,1.821550127431,1.758327419140,0.611177174236,1.821550127431,4.287858565351,12.797456448336
2,3,3,9.0,1.000000000000,0.371977115207,0.323532753612,0.183610102186,0.120880028996,0.611211205757,0.610732995747,1.053393044970,1.821688324127,1.758239942009,0.611211205757,1.821688324127,4.593455660350,13.708266061226
2,3,3,9.5,1.000000000000,0.371973317805,0.323523957211,0.183598359601,0.120904365382,0.611229442113,0.610708259693,1.053433772561,1.821768368601,1.758191269235,0.611229442113,1.821768368601,4.899065822317,14.619130234408
2,3,3,10.0,1.000000000000,0.371968288212,0.323519211551,0.183594634789,0.120917865448,0.611236801005,0.610705998937,1.053462077474,1.821811372800,1.758164269103,0.611236801005,1.821811372800,5.204682383096,15.530025169759
2,3,3,10.5,1.000000000000,0.371968360341,0.323514717689,0.183591449891,0.120925472079,0.611243077286,0.610696619356,1.053474033709,1.821843641224,1.758149055842,0.611243077286,1.821843641224,5.510302352669,16.440938923265
2,3,3,11.0,1.000000000000,0.371969377027,0.323512872690,0.183588232450,0.120929517833,0.611247907062,0.610688522566,1.053477891090,1.821865926042,1.758140964333,0.611247907062,1.821865926042,5.815925098756,17.351866315081
2,3,3,11.5,1.000000000000,0.371968971149,0.323512730336,0.183586523796,0.120931774719,0.611250084238,0.610685639551,1.053481102084,1.821877354939,1.758136450563,0.611250084238,1.821877354939,6.121549596581,18.262802135326
2,3,3,12.0,1.000000000000,0.371968241021,0.323512525210,0.183586016846,0.120933216924,0.611250809581,0.610684818613,1.053484209673,1.821882757246,1.758133566152,0.611250809581,1.821882757246,6.427174820036,19.173742163373
2,3,3,12.5,1.000000000000,0.371968026905,0.323512069384,0.183585794877,0.120934108834,0.611251289390,0.610684021533,1.053485985641,1.821886245369,1.758131782331,0.611251289390,1.821886245369,6.732800344779,20.084684414026
2,3,3,13.0,1.000000000000,0.371968066792,0.323511773445,0.183585576870,0.120934582893,0.611251698491,0.610683425231,1.053486675863,1.821888772705,1.758130834215,0.611251698491,1.821888772705,7.038426091749,20.995628168545
2,3,3,13.5,1.000000000000,0.371968068375,0.323511683005,0.183585427182,0.120934821437,0.611251935710,0.610683186200,1.053487001681,1.821890334867,1.758130357126,0.611251935710,1.821890334867,7.344052000299,21.906572945438
2,3,3,14.0,1.000000000000,0.371968050558,0.323511651226,0.183585341517,0.120934956700,0.611252060895,0.610683021592,1.053487204359,1.821891239694,1.758130086601,0.611252060895,1.821891239694,7.649677999450,22.817518339078
2,3,3,14.5,1.000000000000,0.371968039651,0.323511629180,0.183585291158,0.120935040011,0.611252132103,0.610682892100,1.053487331528,1.821891767529,1.758129919979,0.611252132103,1.821891767529,7.955304047700,23.728464090884
2,3,3,15.0,1.000000000000,0.371968027691,0.323511615299,0.183585266921,0.120935090089,0.611252167289,0.610682835701,1.053487419407,1.821892066101,1.758129819823,0.611252167289,1.821892066101,8.260930122548,24.639410049292
